ACC,F1Score,SP,EO,EQO,BalancedACC,drift-id
1.0,1.0,0.0,0.0,0.0,0.0,0
1.0,1.0,1.0,1.0,0.5,1.0,0
0.6666666666666666,0.8,1.0,1.0,0.5,0.5,0
0.75,0.8,0.5,1.0,0.5,0.5,0
0.8,0.8,0.3333333333333333,1.0,0.5,0.5,0
0.8333333333333334,0.8,0.25,1.0,0.5,0.5,0
0.8571428571428571,0.8571428571428571,0.4,1.0,0.5,0.5,0
0.75,0.75,0.4,1.0,0.5,0.3333333333333333,0
0.7777777777777778,0.75,0.3333333333333333,1.0,0.5,0.3333333333333333,0
0.7,0.6666666666666666,0.3333333333333333,1.0,0.5,0.25,0
0.7272727272727273,0.6666666666666666,0.41666666666666663,1.0,0.625,0.4,0
0.75,0.7272727272727273,0.5357142857142857,1.0,0.625,0.4,0
0.7692307692307693,0.7692307692307693,0.625,1.0,0.625,0.4,0
0.7857142857142857,0.8,0.6944444444444444,1.0,0.625,0.4,0
0.8,0.8235294117647058,0.7499999999999999,1.0,0.625,0.4,0
0.8125,0.8235294117647058,0.6818181818181818,1.0,0.625,0.4,0
0.8235294117647058,0.8421052631578947,0.6545454545454544,1.0,0.625,0.5,0
0.8333333333333334,0.8571428571428571,0.7000000000000001,1.0,0.625,0.5,0
0.7894736842105263,0.8181818181818182,0.6805555555555557,1.0,0.6,0.42857142857142855,0
0.75,0.782608695652174,0.6666666666666667,1.0,0.5833333333333334,0.375,0
0.7142857142857143,0.75,0.6562500000000001,1.0,0.5714285714285714,0.3333333333333333,0
0.7272727272727273,0.7692307692307693,0.6923076923076924,1.0,0.5714285714285714,0.3333333333333333,0
0.7391304347826086,0.7857142857142857,0.7232142857142858,1.0,0.5714285714285714,0.3333333333333333,0
0.75,0.7857142857142857,0.675,1.0,0.5714285714285714,0.3333333333333333,0
0.76,0.8,0.703125,1.0,0.5714285714285714,0.3333333333333333,0
0.7692307692307693,0.8125,0.7279411764705883,1.0,0.5714285714285714,0.3333333333333333,0
0.7777777777777778,0.8235294117647058,0.75,1.0,0.5714285714285714,0.3333333333333333,0
0.7857142857142857,0.8235294117647058,0.8333333333333333,1.0,0.625,0.4,0
0.7586206896551724,0.8,0.8148148148148148,1.0,0.6111111111111112,0.36363636363636365,0
0.7333333333333333,0.7777777777777778,0.7999999999999999,1.0,0.6,0.3333333333333333,0
0.7419354838709677,0.7894736842105263,0.7878787878787878,1.0,0.6,0.3846153846153847,0
0.71875,0.7692307692307693,0.7777777777777778,1.0,0.5909090909090909,0.35714285714285715,0
0.7272727272727273,0.7692307692307693,0.8333333333333333,1.0,0.625,0.4,0
0.7352941176470589,0.7804878048780488,0.8552631578947368,1.0,0.625,0.4,0
0.7428571428571429,0.7906976744186046,0.8421052631578948,1.0,0.625,0.4375,0
0.75,0.8,0.8615384615384615,1.0,0.625,0.4375,0
0.7297297297297297,0.782608695652174,0.8791208791208791,1.0,0.6458333333333334,0.45937500000000003,0
0.7368421052631579,0.7916666666666666,0.8951048951048951,1.0,0.6458333333333334,0.45833333333333326,0
0.7435897435897436,0.8,0.9096989966555183,1.0,0.6458333333333334,0.4573863636363636,0
0.75,0.8076923076923077,0.8975155279503105,1.0,0.6458333333333334,0.4919786096256685,0
0.7560975609756098,0.8148148148148148,0.9107142857142858,1.0,0.6458333333333334,0.4910485933503836,0
0.7380952380952381,0.8,0.9228571428571429,1.0,0.6666666666666666,0.5115089514066496,0
0.7441860465116279,0.8,0.8873626373626373,1.0,0.6607142857142857,0.5098039215686274,0
0.7272727272727273,0.7857142857142857,0.8769230769230768,1.0,0.6483516483516484,0.48148148148148145,0
0.7333333333333333,0.7931034482758621,0.8677884615384616,1.0,0.6483516483516484,0.513157894736842,0
0.7391304347826086,0.8,0.8796296296296297,1.0,0.6483516483516484,0.511578947368421,0
0.7446808510638298,0.8064516129032258,0.890625,1.0,0.6483516483516484,0.5101214574898785,0
0.7291666666666666,0.7936507936507936,0.9008620689655172,1.0,0.6648351648351649,0.5283400809716599,0
0.7142857142857143,0.78125,0.8708333333333333,0.95,0.6398351648351648,0.5465587044534412,0
0.72,0.7878787878787878,0.8810483870967742,0.9523809523809523,0.641025641025641,0.5438596491228069,0
0.7254901960784313,0.7878787878787878,0.853515625,0.9523809523809523,0.6348443223443223,0.5413533834586466,0
0.7307692307692307,0.7878787878787878,0.8984375,0.9523809523809523,0.6726190476190476,0.5714285714285714,0
0.7169811320754716,0.7761194029850746,0.8878676470588235,0.9523809523809523,0.6595238095238095,0.5442176870748299,0
0.7037037037037037,0.7647058823529411,0.8784722222222222,0.9523809523809523,0.6480654761904762,0.5194805194805194,0
0.6909090909090909,0.7536231884057971,0.8700657894736842,0.9523809523809523,0.6379551820728291,0.49689440993788814,0
