Clients identities

Timestep 0
Model id: 0:0,1,2,3,4,5,6,7,8,9

Timestep 1
Model id: 0:0,1,2,3,4,5,6,7,8,9

Timestep 2
Model id: 0:0,1,2,3,4,6
Model id: 1:5
Model id: 2:7
Model id: 3:8
Model id: 4:9

Timestep 3
Model id: 0:0,1,2,3,4
Model id: 3-4:5,6,9
Model id: 1:7
Model id: 2:8

Timestep 4
Model id: 0:0,1,2,3,4
Model id: 2-3-4:5,6,7,8,9

Timestep 5
Model id: 5:0
Model id: 6:1
Model id: 7:2
Model id: 8:3
Model id: 9:4
Model id: 1-2-3-4:5,6,7,8,9

Timestep 6
Model id: 8-9-5-6-7:0,1,2,3,4
Model id: 1-2-3-4:5,6,7,8,9

Timestep 7
Model id: 8-9-5-6-7:0,1,2,3,4
Model id: 1-2-3-4:5,6,7,8,9

Timestep 8
Model id: 8-9-5-6-7:0,1,2
Model id: 0:3,4,5,6,7
Model id: 1-2-3-4:8,9

Timestep 9
Model id: 8-9-5-6-7:0,1,2
Model id: 0:3,4,5,6,7
Model id: 1-2-3-4:8,9
