ACC,Loss,LossPrivileged,LossUnprivileged,BalancedACC,drift-id,gm-id
0.8433333333333334,0.36027527,0.3002041,0.4751686,0.8925566343042071,0,<federated.algorithms.fair_fed_drift.ClientIdentity.ClientIdentity object at 0x7f47580fcf70>
0.8033333333333333,0.47406077,0.2632429,0.8925501,0.7486567164179105,1,<federated.algorithms.fair_fed_drift.ClientIdentity.ClientIdentity object at 0x7f46fc1e5bd0>
0.775,0.5678219,0.310405,1.0750097,0.6776455102157615,1,<federated.algorithms.fair_fed_drift.ClientIdentity.ClientIdentity object at 0x7f46a02af910>
0.7933333333333333,0.50015277,0.26960722,0.9443748,0.7011670976308616,1,<federated.algorithms.fair_fed_drift.ClientIdentity.ClientIdentity object at 0x7f46a0459bd0>
0.78,0.5677147,0.29144654,1.2440951,0.6568544995794786,2,<federated.algorithms.fair_fed_drift.ClientIdentity.ClientIdentity object at 0x7f467c3cc460>
0.805,0.54154396,0.2508607,1.1885489,0.63340768702814,2,<federated.algorithms.fair_fed_drift.ClientIdentity.ClientIdentity object at 0x7f474023cca0>
0.785,0.5340712,0.23785223,1.1309749,0.6360433452177087,2,<federated.algorithms.fair_fed_drift.ClientIdentity.ClientIdentity object at 0x7f46dc2ea6e0>
0.765,0.5498375,0.29680896,1.0337853,0.6468340456848481,2,<federated.algorithms.fair_fed_drift.ClientIdentity.ClientIdentity object at 0x7f46dc23a230>
0.815,0.41762674,0.2112395,0.8037388,0.65633508683814,2,<federated.algorithms.fair_fed_drift.ClientIdentity.ClientIdentity object at 0x7f467c28f2b0>
0.83,0.3406819,0.276041,0.46340588,0.8741127969739471,0,<federated.algorithms.fair_fed_drift.ClientIdentity.ClientIdentity object at 0x7f467c62a5c0>
